Title;Muscle cible;Position de depart;Mouvement;Thème;serie;Contre-indication
Fente sol + barre entre les jambes;Fessier, cuisse, ischio, mollet.;"Aligner le genou de la jambe avant sous la cheville.

Le genou de la jambe arrière est fléchit et la jambe relâchée.

Positionner la barre entre les deux jambes.";"Transférer le poids du corps sur la jambe avant.

Descendre en poussant légèrement le fessier vers l’arrière.

Amener l’arrière cuisse de la jambe avant parallèlement au sol au maximun.

Remonter sans bloquer le genou et en maintenant l’axe genou-cheville.

Inspirer sur la descente et tenir les abdominaux.";Fente;3x15 répétitions;genoux
;;;;;;
8.2 - Tirage bras tendu en appui sur le ballon;Grand dorsal, triceps.;"En appui contre le ballon avec les deux genoux au sol.

Bras tenus le long du corps

Courbe lombaire neutre.";"Tirer les deux bras vers l’arrière en inspirant.

Revenir lentement en position de départ.

Tenir les abdominaux.";;2x 12 répétitions;Aucune
Squat avec poids du corps et élastique;Fessier, cuisse, ischio, mollet.;"Debout, pieds parallèles largeur des épaules.

Elastique au-dessus des genoux.";"Descendre en poussant le fessier légèrement vers l’arrière et fléchir les genoux.

Les genoux peuvent avancer jusqu’à la pointe des pieds.

Amener les arrières cuisses parallèlement au sol.

Remonter sans bloquer les genoux.

Inspirer sur la descente et tenir les abdominaux.";Squat;3x12 répétitions;aucune
Squat avec barre;Fessier, cuisse, ischio, mollet.;"Debout, pieds parallèles largeur des épaules.

Positionner la barre sur le haut du dos et non pas sur la nuque.";"Descendre en poussant le fessier légèrement vers l’arrière et fléchir les genoux.

Les genoux peuvent avancer jusqu’à la pointe des pieds.

Amener les arrières cuisses parallèlement au sol.

Remonter sans bloquer les genoux.

Inspirer sur la descente et tenir les abdominaux.";Squat;3x15 répétitions;genoux
;;;;;;
Squat + DV nuque;Fessier, cuisse, ischio, mollet.;"Debout, pieds parallèles largeur des épaules.

Coudes fléchis et les haltères au niveau des épaules.";"Descendre en poussant le fessier légèrement vers l’arrière et fléchir les genoux.

Les genoux peuvent avancer jusqu’à la pointe des pieds.

Amener les arrières cuisses parallèlement au sol.

Remonter sans bloquer les genoux et tendre les deux bras légèrement vers l’avant.

Inspirer sur la descente et tenir les abdominaux.";Squat;3x15 répétitions;genoux, épaule
Jumping jack avec band mains à la taille;Cuisse, fessier.;"Debout, les pieds un peu plus large que les épaules.

Les mains à la taille et la courbe lombaire neutre.

L’élastique bande autour et au-dessus des genoux.";"Sauter en ouvrant et en fermant les deux pieds tout en fléchissant légèrement les genoux.

Les mains à la taille.";;3x30 secondes;genoux
Triceps couché sur le banc + haltère;Triceps, épaules.;"Couché sur le banc, les genoux fléchis et les pieds sur le banc.

Les bras tendus avec l’haltère à hauteur du haut de la poitrine.

Courbe lombaire neutre.";"Descendre l’haltère derrière la tête en fléchissant les coudes.

Remonter l’haltère bras tendus sans bloquer, ni bouger les coudes.

Tenir les abdominaux.";Triceps;3X15 répétitions;épicondylite
Gainage oblique à genoux au sol;Obliques et épaules.;"Couché sur le dos.

Courbe lombaire neutre.

Tête décollée et bras tendus.

Genoux fléchis.";"Tendre les jambes l’une après l’autre entre 45° et 90° et les bras à hauteur des oreilles

(Option : tête au sol ou tête découlée en maintenant un point entre le menton et le buste)

Revenir en position départ.

Expirez à chaque extension de jambes.";Gainage;2x 30 à 60 secondes;douleur à l’épaule
;;;;;;
Crunch au sol jambes tendues + ballon cheville;Droit de l’abdomen.;"Couché sur le dos.

Courbe lombaire neutre.

Tête au sol avec les mains derrière.

Jambes tendues.

Ballon aux chevilles.";"Relever le buste, en gardant l’espace d’un point entre le menton et le corps.

Expirez en faisant le mouvement Revenir sans poser la tête au sol.";Crunch;3x 15 à 20 répétitions;aucune
;;;;;;
Rowing au sol position de squat + poulie basse et corde;Grand dorsal, biceps.;"Debout, les genoux fléchis.

Bras tenus vers le bas.

Courbe lombaire neutre.";"Tirer la corde entre le nombril et le sternum.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";Rowing;3X12 répétitions;douleur d’épaule et épicondylite
;;;;;;
Squat bosu + rowing poulie basse;Fessier, cuisse, ischio, mollet.;"Debout, pieds parallèles largeur des épaules.

Bras tendu avec la barre à la main.";"Descendre en poussant le fessier légèrement vers l’arrière et fléchir les genoux.

Les genoux peuvent avancer jusqu’à la pointe des pieds.

Amener les arrières cuisses parallèlement au sol.

Remonter sans bloquer les genoux puis tirer la barre au niveau du nombril.

Inspirer sur la descente et tenir les abdominaux.";Squat;3x15 répétitions;genoux, épicondylite
8.3 - Bascule de bassin sur le ballon.;lombaires, abdominaux.;"Assis sur le ballon avec la courbe lombaire neutre.

Allonger la colonne vertébrale.";"Basculer le bassin et faire rouler le ballon vers l’avant afin d’amener le bas du dos sur le ballon. Expirer.

Revenir en position de départ lentement en allongeant la colonne vertébrale.

Tenir les abdominaux.";;2x 12 répétitions;Aucune
Abduction de hanche assis avec petits mouvement (profile) ;Abducteur, TFL, moyen fessier.;"Assis au bout du banc, la courbe du dos neutre et le dos allongé.

Les mains en appui derrière les hanches et les pieds parallèle au sol.

L’élastique band au-dessus des genoux.";"Tirer l’élastique bande vers l’extérieur.

Maintenir et faire de petits mouvements.";Abduction;3x 15 répétitions;aucune
Saut latéral;Fessier, cuisse, ischio, mollet.;Debout, pieds à la largeur des hanches et les bras le long du corps.;"Sauter en appui sur un pied sur le côté tout en fléchissant le genou de l’autre jambe.

Alterner les sauts de chaque côté.

Les bras se coordonnes au mouvement ou garder les coudes à la taille.

Tenir les abdominaux.";;3x30 secondes;problème cardio-vasculaire
;;;;;;
Gainage oblique à genoux sur le bosu et pieds au sol + élastique;Obliques et épaules.;"A genoux sur le bosu avec les pieds au sol.

Dos neutre.

Tête dans le prolongement de la colonne.

Élastique à la main.";"Tourner sur le côté avec les bras tendus en stabilisant le bassin.

Revenir en contractant un peu les abdominaux.

Expirer sur le mouvement.";Gainage;2x 30 à 60 secondes;aucune
Abduction des hanches;abducteur, TFL, moyen fessier;"Assis avec le dos contre le siège.

Les genoux contre les coussinets intérieurs.

Les pieds placer sur la première barre des plateaux.";"Ouvrir le plus possible les hanches sans bouger le bassin.

Revenir lentement en position de départ.";Abduction et adduction;3x 12 répétitions;aucune
;;;;;;
10.3 - Rowing;Grand dorsal, biceps.;"Assis avec l’abdomen et le milieu de la poitrine contre le siège avant.

Courbe lombaire neutre.

Les bras tendus avec les coudes souples.";"Tirer les deux coudes vers l’arrière en serrant tout à la fois les omoplates.

Revenir bras tendu sans bloquer les coudes.

Tenir les abdominaux.";;3x 12 répétitions;épicondylite
3.7 - Abduction coucher sur le côté avec les deux jambes;Moyen fessier;"Couché sur le côté. La tête repose sur un bras et l’autre main est en maintien devant le corps.

Ouvrir la cage thoracique et laisser un espace au niveau de votre taille.

Les pieds sont joints.

Abdominaux contractés.";"Soulever les deux jambes en décollant le genou et le milieu de la cuisse du sol.

Revenir sans poser les pieds au sol et repartir.

Expirer lors de l’abduction.";;3x 15 à 20 répétitions;Aucune
Traction horizontale TRX genoux fléchis niveau intermédiaire;Grand dorsal, biceps.;"Genoux fléchis, en appui sur les pieds.

Prise des sangles largeur des épaules et les bras tendus.

Le corps à un peu d’inclinaison.

Courbe lombaire neutre.";"Soulever son poids de corps en fléchissant les coudes et amener les mains vers l’extérieur de

la poitrine.

Maintenir la stabilité du bassin.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";Traction;3X15 répétitions;épaule
3.1 - Gainage planche sur les pieds;Transverse, épaule.;"Coude et épaule alignés en appuie sur les avant-bras et les pieds.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.";"Maintenir la position en contractant un peu les abdominaux.

Maintenir le bassin statique et à la même hauteur durant l’exercice.

Inspirer avec le nez et expirer avec la bouche.";;3x 30 à 60 secondes.;problème cardio vasculaire
Triceps traction;Triceps, épaules, abdominaux.;"Les mains au milieu des barres.

Les bras tendus sans bloquer les coudes.

Les pieds croisés.";"Descendre en fléchissant les coudes à 90°sans monter les épaules.

Dos légèrement incliné vers l’avant.

Puis tendre les bras sans bloquer les coudes.

Tenir les abdominaux.";Triceps;3X12 répétitions;épicondylite (coude)- instabilité d’épaule
Crunch sur ballon + bras tendus avec haltère + pieds sur la barre;Droit de l’abdomen et transverse.;"Fessier et haut du dos sur le ballon.

Main derrière la tête.

Genoux fléchis et pieds sur la barre.";"Relever le buste, en gardant l’espace d’un point entre le menton et le corps.

Redescendre en posant le haut du dos sur le ballon.

Expirez en faisant le mouvement.";Crunch;3x 15 à 20 répétitions;aucune
4.7 - Ischios leg curl + 2 pieds sur le ballon;ischio, dos.;"Couché au sol avec les deux pieds sur le ballon.

Soulever les hanches et aligner si possible les épaules, le bassin et les genoux.

Abdominaux contractés.";"Fléchir les genoux et faire rouler le ballon vers le fessier.

Revenir en position de départ sans tendre les jambes.

Expirer lors de la flexion.";Jambe;3X 12 à 15 Répétitions;Aucune
6.1 - Squat avec barre;fessier, cuisse, ischio, mollet.;"Debout, pieds parallèles largeur des épaules.

Positionner la barre sur le haut du dos et non pas sur la nuque.";"Descendre en poussant le fessier légèrement vers l’arrière et fléchir les genoux.

Les genoux peuvent avancer jusqu’à la pointe des pieds.

Amener les arrières cuisses parallèlement au sol.

Remonter sans bloquer les genoux.

Inspirer sur la descente et tenir les abdominaux.";;3x 15 répétitions;Aucune
Gainage oblique sur le côté avec flexion de hanche niveau 1;Obliques.;"Couché sur le côté.

Une main allongée au sol et l’autre derrière la tête.

Jambes tendues.";"Relever le buste en même temps qu’un genou.

Amener le genou vers la poitrine et toucher la cheville de la main.

Revenir en position départ.

Expirez à chaque relevé.";Gainage;3x 15 à 20 répétitions;aucune
Pompe mains serrées sur barre guidée;Pectoraux, triceps.;"Les mains à la barre largeur des épaules.

Les pieds joint ancrés au sol

Courbe lombaire neutre.";"Descendre le buste en fléchissant les deux coudes près du corps et toucher la barre.

Puis remonter les bras tendus sans bloquer les coudes.

Tenir les abdominaux.";Pompe;3x12 répétitions;épaule
Pompe 1 jambe sur le ballon;Pectoraux, triceps, abdominaux.;"Le milieu de la cuisse en appui au centre du ballon.

L’autre jambe est décollée du ballon.

Les mains plus larges que les épaules.

Courbe lombaire neutre.";"Descendre le buste le plus bas possible, en fléchissant les deux coudes.

Puis remonter les bras tendus sans bloquer les coudes.

Tenir les abdominaux.";Pompe;3x12 répétitions;épaule
6.5 - Fente avant alterné sur 4 temps;fessier, cuisse, ischio, mollet.;Pieds largeur des épaules.;"Faire un pas en avant.

Enchainer avec une flexion du genou et l’aligner sous la cheville.

Tendre le genou avant en le maintenant sous la cheville.

Revenir en position de départ en mettant le poids du corps sur la jambe avant.

Repartir avec l’autre jambe.

Inspirer sur la descente et tenir les abdominaux.";;3x 15 répétitions;Genoux
;;;;;;
Fente sol + barre;Fessier, cuisse, ischio, mollet.;"Aligner le genou de la jambe avant sous la cheville.

Le genou de la jambe arrière est fléchit et la jambe relâchée.

Positionner la barre sur le haut du dos et non pas sur la nuque.";"Transférer le poids du corps sur la jambe avant.

Descendre en poussant légèrement le fessier vers l’arrière.

Amener l’arrière cuisse de la jambe avant parallèlement au sol au maximum.

Remonter sans bloquer le genou et en maintenant l’axe genou-cheville.

Inspirer sur la descente et tenir les abdominaux.";Fente;3x15 répétitions;genoux
